gruppo,malattia
Acari,Acari
Acari,Eriofidi
Batteri,Batteriosi
Batteri,"Cancri, necrosi e carie del legno"
Batteri,Micoplasmosi o Fitoplasmosi
Funghi,Aflatossine
Funghi,Alghe
Funghi,Alternariosi
Funghi,Antracnosi
Funghi,Bolla
Funghi,Carboni
Funghi,Carboni
Funghi,Carie dei Cereali
Funghi,Cercospora
Funghi,Corineo
Funghi,Elmintosporiosi
Funghi,Fumaggini
Funghi,Fusariosi
Funghi,Lieviti
Funghi,Macchie e necrosi fogliari da miceti
Funghi,Mal secco
Funghi,Marciumi da Botrytis
Funghi,Marciumi dei frutti
Funghi,Marciumi dei tuberi e dei bulbi
Funghi,Marciumi e necrosi del colletto
Funghi,Marciumi e necrosi di semi e plantule
Funghi,"Marciumi e necrosi di steli, fusti e rami"
Funghi,Marciumi e necrosi radicali
Funghi,Moniliosi
Funghi,Oidio
Funghi,Paysandisie o castnie
Funghi,Peronospore
Funghi,Rizomania
Funghi,Rizottoniosi
Funghi,Ruggini
Funghi,Septoriosi
Funghi,Ticchiolatura
Funghi,Tracheoverticillosi
Funghi,Vaiolatura
Insetti,Afidi
Insetti,Aleurodidi
Insetti,Ausiliari (entomo predatori e parassiti)
Insetti,Cavallette
Insetti,Cicaline
Insetti,Cimici
Insetti,Cocciniglie
Insetti,Coleotteri carabidi
Insetti,Coleotteri crisomelidi
Insetti,Coleotteri curculionidi
Insetti,Coleotteri elateridi
Insetti,Coleotteri scolitidi
Insetti,Coleotteri vari
Insetti,Collemboli
Insetti,Coppette (crostacei)
Insetti,Ditteri
Insetti,Fillossera
Insetti,Formiche
Insetti,Gasteropodi
Insetti,Grillotalpa
Insetti,Imenotteri (tentredini e simili)
Insetti,Lepidotteri
Insetti,Macrolepidotteri xilofagi
Insetti,Metcalfa
Insetti,Microlepidotteri minatori
Insetti,Miriapodi
Insetti,Miridi
Insetti,Nematodi
Insetti,Nottue
Insetti,Psille
Insetti,Roditori ed arvicole
Insetti,Selvaggina
Insetti,Sputacchine
Insetti,Tignole
Insetti,Tingidi
Insetti,Tortricidi ricamatori
Insetti,Tripidi
Insetti,Uccelli
Virus e virosi,Virus e virosi
